Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Xetizo 0.5mg Tablet,NEURO CNS,88,1.49,8.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Maxicef-O Tablet DT,ANTI INFECTIVES,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fingesic P 100mg/325mg Tablet,PAIN ANALGESICS,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flex Free 50mg Tablet,PAIN ANALGESICS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Ertycin L 250mg/250mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Cefopen O 200mg/200mg Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Variace 1.25mg Capsule,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Telgard AM 40mg/5mg Tablet,CARDIAC,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hyden 10 Tablet,RESPIRATORY,96,1.62,8.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Careprost LS BKC Free Eye drop,OPHTHAL,309,5.22,4.78,Medium Flexibility,Regular Monitoring
Rantrio-DSR Capsule,GASTRO INTESTINAL,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Amlovas OL 20mg/5mg Tablet,CARDIAC,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Montecart F 10mg/120mg Tablet,RESPIRATORY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Diormin-P 2 Tablet SR,ANTI DIABETICS,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tinyfos 500mg Syrup,NEURO CNS,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Biodine 5% Ointment,OPHTHAL OTOLOGICALS,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telmed Mct 12.5mg/50mg/40mg Tablet,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Vovefen 100mg Tablet SR,PAIN ANALGESICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Scabifine 5% Cream,DERMA,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Saipan 40mg Tablet,GASTRO INTESTINAL,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diclogem MR 250mg/50mg/325mg Tablet,PAIN ANALGESICS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mectin 12mg Tablet,ANTI INFECTIVES,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telemar 20 Tablet,CARDIAC,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Medrofen Tablet,GYNAECOLOGICAL,158,2.67,7.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Napilex CR 200mg/87mg Tablet,NEURO CNS,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glyzest G 2 Tablet SR,ANTI DIABETICS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dutatam 0.4mg/0.5mg Tablet,UROLOG,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Ikva-P Tablet,PAIN ANALGESICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
PPZ-D Tablet,GASTRO INTESTINAL,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zopicon 7.5mg Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
MDD XR 100 Tablet,NEURO CNS,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cyptrill Syrup,VITAMINS MINERALS NUTRIENT,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Swich-XP 500 Injection,ANTI INFECTIVES,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Renoable Tablet,UROLOGY,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Eztadiol Tablet,GYNAECOLOGICAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Genoformin G 1mg/500mg Tablet,ANTI DIABETICS,311,5.25,4.75,Medium Flexibility,Regular Monitoring
Rosachol 20mg Tablet,CARDIAC,585,9.88,0.12,High Flexibility (Safe),Lean Inventory (Low Risk)
Pricol DS 250mg Suspension,PAIN ANALGESICS,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bekoff-LS Syrup Sugar Free,RESPIRATORY,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Relipoietin 4000IU Injection,BLOOD RELATED,584,9.86,0.14,High Flexibility (Safe),Lean Inventory (Low Risk)
Sulgiride R 75mg/20mg Capsule,GASTRO INTESTINAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Gluconorm GP 2mg/500mg/15mg Tablet,ANTI DIABETICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Isodilan 40mg Tablet,GYNAECOLOGICAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
ACEVAH P  100 MG/650 MG TABLET,PAIN ANALGESICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fortum 250mg Injection,ANTI INFECTIVES,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Omi Q 20mg Capsule,GASTRO INTESTINAL,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Clopitab-CV Gold 40 Capsule,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
D.D Gel,PAIN ANALGESICS,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Raboo DSR Tablet,GASTRO INTESTINAL,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nypa CS Eye Drop,OPHTHAL,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etizit-ES Tablet,NEURO CNS,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cintop D 15mg/20mg Tablet,GASTRO INTESTINAL,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Monoguard Cream,DERMA,69,1.17,8.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prace TZ 100mg/2mg Tablet,PAIN ANALGESICS,95,1.6,8.4,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ceff 100mg Drop,ANTI INFECTIVES,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Belcof Syrup,RESPIRATORY,86,1.45,8.55,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Riteliv 5 Tablet,RESPIRATORY,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Eritel CH 40 Trio Tablet,CARDIAC,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Megacaine Gel,GASTRO INTESTINAL,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
V One 200mg Tablet,ANTI INFECTIVES,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Dite M 500mg/20mg Tablet,ANTI DIABETICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Terbet Forte 5 mg/8 mg Tablet,RESPIRATORY,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Trachol Eye Drop,OPHTHAL OTOLOGICAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Liecet 5mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Gadz 2mg Tablet,ANTI DIABETICS,261,4.41,5.59,Medium Flexibility,Regular Monitoring
Quitakne Gel,DERMA,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wecure 250mg Tablet,OPHTHAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Pantocent DSR Capsule,GASTRO INTESTINAL,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tacromus 0.5 Capsule,ANTI NEOPLASTICS,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Evamist Combikit,GYNAECOLOGICA,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Peri Peri 1mg Tablet MD,NEURO CNS,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Silcoll Cream,DERMA,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gemiuro 300 Tablet,GASTRO INTESTINAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Activa P 50 mg/500 mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Lamiace 25mg Tablet DT,NEURO CNS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Fenu-MR Tablet,PAIN ANALGESICS,80,1.35,8.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimtek-M2 Tablet SR,ANTI DIABETICS,584,9.86,0.14,High Flexibility (Safe),Lean Inventory (Low Risk)
Drotawel M 80mg/250mg Tablet,GASTRO INTESTINAL,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Moxivib CV 375 Tablet,ANTI INFECTIVES,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Opeq-OZ 200mg/500mg Tablet,GASTRO INTESTINAL,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Sunfen SP Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Seralid 100 mg/15 mg Tablet,PAIN ANALGESICS,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Migrabeta-TR 60 Tablet,CARDIAC,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Ulicrit Liquid Injection,UROLOGY,64,1.08,8.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Biolina Lite Cream,DERMA,261,4.41,5.59,Medium Flexibility,Regular Monitoring
Rosave A 75 Capsule,CARDIAC,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Jakinerve G 300mg/500mcg Tablet,NEURO CNS,64,1.08,8.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Canon 150mg Tablet,ANTI INFECTIVES,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ivadol 5mg Tablet,CARDIAC,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Alcare L 5mg Tablet,RESPIRATORY,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Laclav LB  Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Volpraz P 0.25mg/20mg Tablet,NEURO CNS,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Linecon 600 Tablet,ANTI INFECTIVES,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bituzin 5mg Tablet,RESPIRATORY,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gatiray L Eye Drop,OPHTHA,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jenfix Dry Syrup,ANTI INFECTIVES,29,0.49,9.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tolzest P 150mg/325mg Tablet,PAIN ANALGESICS,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Olmoxin 500mg Tablet,ANTI INFECTIVES,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sultabest 750mg Tablet,ANTI INFECTIVES,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Worm Effect Syrup,ANTI INFECTIVES,63,1.06,8.94,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tinilox Mps Suspension,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Oppi R 20mg Tablet,GASTRO INTESTINAL,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Scornac MR 100mg/325mg/250mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Patadin Tablet,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Swabquin 300mg Tablet,ANTI MALARIALS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Leerox 250mg Tablet,ANTI INFECTIVES,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kolderon Plus 2mg/500mg/10mg Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Hoxaclav LB 500mg/125mg Tablet,ANTI INFECTIVES,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lnd 600mg Injection,ANTI INFECTIVES,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vovenac 50mg Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Clivin 300mg Injection,ANTI INFECTIVES,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mecolyn PG 750mcg/75mg Capsule,NEURO CNS,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Astrogerd 40 Tablet,GASTRO INTESTINAL,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Lace-RB Capsule SR,PAIN ANALGESICS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acoflox 200mg Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Anti-Thyrox 5 Tablet,HORMONES,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Esipam LS 0.25mg/5mg Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Lowprost PF 0.01% Eye Drop,OPHTHAL,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xarocad 20mg Tablet,BLOOD RELATED,311,5.25,4.75,Medium Flexibility,Regular Monitoring
Azivee 500mg Tablet,ANTI INFECTIVES,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glucobeat G 1mg/500mg Tablet,ANTI DIABETICS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Optiof 0.3% Eye Drop,ANTI INFECTIVES,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Locoflam SP Tablet,PAIN ANALGESICS,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bandy-Plus Suspension,ANTI INFECTIVES,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bilastero 20mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Varnflo MS Dry Syrup,GASTRO INTESTINAL,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dapzigard M 10mg/500mg Tablet,ANTI DIABETICS,50,0.84,9.16,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabven D 30mg/20mg Capsule SR,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nemunac 100mg Tablet,PAIN ANALGESICS,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Frumide 40 mg/5 mg Tablet,CARDIAC,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voxox 100 Tablet ER,NEURO CNS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Alcaft Eye Drop,OPHTHAL,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Grurab D 30mg/20mg Capsule SR,GASTRO INTESTINAL,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Udiplus Tablet,GASTRO INTESTINAL,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telmivid AM 40mg/5mg Tablet,CARDIAC,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nurab-LS Capsule SR,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Belustine 40 Capsule,ANTI NEOPLASTICS,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Capril M 2mg/500mg Tablet,ANTI DIABETICS,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Testocare Injection,SEX STIMULANTS REJUVENATOR,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sobimed 1000 Tablet,GASTRO INTESTINAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Esodaz LS 75mg/40mg Capsule SR,GASTRO INTESTINAL,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ibformin-G Forte 2mg/1000mg Tablet,ANTI DIABETICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Procef 1000 Injection,ANTI INFECTIVES,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ripzox MR 250mg/50mg/325mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Welclav LB 500mg/125mg Tablet,ANTI INFECTIVES,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Purich 400mg Tablet,NEURO CNS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bisveda 5mg Tablet,CARDIAC,127,2.15,7.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bortlee Lyophilized 2mg Injection,ANTI NEOPLASTICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aclown MR 100mg/325mg/250mg Tablet,PAIN ANALGESICS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Evomid Tablet,GYNAECOLOGICAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Cgros 20mg Tablet,CARDIAC,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Trakoff-D Syrup,RESPIRATORY,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pomalid 1mg Capsule,ANTI NEOPLASTICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kryptocet L 5mg Tablet,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Gat X 100 mg/2 mg Tablet,PAIN ANALGESICS,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hygest 500mg Injection,GYNAECOLOGICAL,64,1.08,8.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Icon Medicated Soap,ANTI INFECTIVES,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Ampilin 250mg Tablet,ANTI INFECTIVES,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xylokast Kid 2.5mg/4mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Racer DSR Capsule,GASTRO INTESTINAL,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mydox CV Dry Syrup,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lewdef Oral Suspension,HORMONE,69,1.17,8.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Exo M 10mg/120mg Tablet,RESPIRATORY,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dolwall-SP Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Roslaren EZ 20mg/10mg Tablet,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Levodra 5mg Tablet,RESPIRATORY,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
M Lox Capsule,ANTI INFECTIVES,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Irnocam 100 Injection,ANTI NEOPLASTICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Torleva 1000 Tablet,NEURO CNS,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vomidep-DP Tablet,GASTRO INTESTINAL,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Avopod O 200mg/200mg Tablet,ANTI INFECTIVES,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Vinflux Mps Oral Suspension Orange,GASTRO INTESTINAL,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glycozide 30mg Tablet MR,ANTI DIABETICS,581,9.81,0.19,High Flexibility (Safe),Lean Inventory (Low Risk)
Fenceta SP 100 mg/500 mg/15 mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Etosid 100mg Injection,ANTI NEOPLASTICS,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimugen Gold Tablet,PAIN ANALGESICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fixsana 200mg Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Jox TZ 200mg/600mg Tablet,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vofen SP 100 mg/500 mg/15 mg Tablet,PAIN ANALGESICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Clomish 25 Tablet,GYNAECOLOGICA,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glipid MF 5mg/500mg Tablet,ANTI DIABETICS,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gasoxole L 75mg/20mg Capsule SR,GASTRO INTESTINAL,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Epitriz OD 100mg Tablet,NEURO CNS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Drojust ACE 80mg/100mg Tablet,GASTRO INTESTINAL,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Eunacgen SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lesan 5mg Tablet,RESPIRATORY,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gretacal Injection,VITAMINS MINERALS NUTRIENT,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Lanpro 15mg Capsule,GASTRO INTESTINAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Tormax Plus 50mg/10mg Tablet,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Triclomol Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Rimpril 10mg Tablet,CARDIAC,55,0.93,9.07,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Klon 2mg Tablet,NEURO CNS,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflobest OZ Syrup,GASTRO INTESTINAL,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tucin D Junior Syrup,RESPIRATORY,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Benzexa 5 Gel,DERMA,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gatnin 200mg Injection,ANTI INFECTIVES,378,6.39,3.61,Medium Flexibility,Regular Monitoring
